Lambda,Psi,Delta
711,37.15,76.709
712,37.091,76.726
713,37.033,76.743
714,36.975,76.761
715,36.918,76.779
716,36.86,76.797
717,36.803,76.815
718,36.747,76.833
719,36.691,76.851
720,36.635,76.869
721,36.579,76.888
722,36.524,76.907
723,36.469,76.925
724,36.414,76.944
725,36.36,76.964
726,36.306,76.983
727,36.252,77.002
728,36.199,77.022
729,36.146,77.041
730,36.093,77.061
731,36.04,77.081
732,35.988,77.101
733,35.936,77.121
734,35.884,77.141
735,35.833,77.162
736,35.782,77.182
737,35.731,77.203
738,35.68,77.224
739,35.63,77.244
740,35.58,77.265
741,35.53,77.287
742,35.481,77.308
743,35.431,77.329
744,35.382,77.35
745,35.334,77.372
746,35.285,77.394
747,35.237,77.415
748,35.189,77.437
749,35.141,77.459
750,35.094,77.481
751,35.046,77.504
752,34.999,77.526
753,34.952,77.548
754,34.906,77.571
755,34.859,77.593
756,34.813,77.616
757,34.767,77.639
758,34.722,77.662
759,34.676,77.685
760,34.631,77.708
761,34.586,77.731
762,34.541,77.755
763,34.497,77.778
764,34.452,77.801
765,34.408,77.825
766,34.364,77.849
767,34.32,77.872
768,34.277,77.896
769,34.233,77.92
770,34.19,77.944
771,34.147,77.968
772,34.104,77.993
773,34.062,78.017
774,34.02,78.041
775,33.977,78.066
776,33.935,78.09
777,33.894,78.115
778,33.852,78.14
779,33.811,78.164
780,33.769,78.189
781,33.728,78.214
782,33.687,78.239
783,33.647,78.264
784,33.606,78.289
785,33.566,78.315
786,33.526,78.34
787,33.486,78.365
788,33.446,78.391
789,33.406,78.416
790,33.367,78.442
791,33.327,78.468
792,33.288,78.493
793,33.249,78.519
794,33.21,78.545
795,33.172,78.571
796,33.133,78.597
797,33.095,78.623
798,33.057,78.649
799,33.019,78.676
800,32.981,78.702
