lambda,Psi,Delta,n_S,k_S
601,49.244431077653566,97.6702996313676,3.9595,0.0175
602,49.08889517826739,97.76192369903619,3.9572,0.0173
603,48.93487958252506,97.85282340250272,3.955,0.0172
604,48.77368401178146,97.93411742970494,3.9527,0.017
605,48.62304925827445,98.02139095909396,3.9505,0.0169
606,48.47368516651386,98.1059736140019,3.9483,0.0167
607,48.325742513227254,98.18994325981838,3.9461,0.0166
608,48.17903934160022,98.27128268749928,3.9439,0.0164
609,48.02567178827927,98.34520081417,3.9417,0.0163
610,47.8821407127224,98.42325726623281,3.9396,0.0162
611,47.73987225480281,98.49979608085444,3.9375,0.016
612,47.59940878846224,98.57571773718493,3.9353,0.0159
613,47.46010384352336,98.649177237076,3.9332,0.0158
614,47.313443107539605,98.71555185130312,3.9311,0.0156
615,47.177105904846,98.78603949824037,3.9291,0.0155
616,47.04149269113373,98.85623281975303,3.927,0.0154
617,46.90747325436623,98.92397359385993,3.9249,0.0152
618,46.77458885794112,98.99037620057253,3.9229,0.0151
619,46.635132546111876,99.04964194247323,3.9209,0.015
620,46.50454136361375,99.11341523810916,3.9189,0.0149
621,46.37552169361837,99.1758435366215,3.9169,0.0147
622,46.2471152084979,99.2380494043989,3.9149,0.0146
623,46.120214670065195,99.29798722841174,3.9129,0.0145
624,45.98746874269446,99.34983163496005,3.911,0.0144
625,45.86269738613164,99.40735655296606,3.909,0.0143
626,45.73941223983503,99.46366713965931,3.9071,0.0141
627,45.61665469430392,99.51980809463998,3.9052,0.014
628,45.49581159727064,99.57379951527025,3.9033,0.0139
629,45.36842914735288,99.61983239113522,3.9014,0.0138
630,45.24908597347227,99.67161880976354,3.8995,0.0137
631,45.13115006964564,99.72231010695015,3.8977,0.0136
632,45.01413377844884,99.77193689385643,3.8958,0.0135
633,44.8980241617225,99.82051340213658,3.894,0.0133
634,44.77609942148584,99.86115917401811,3.8921,0.0132
635,44.66229249668565,99.90768852384716,3.8903,0.0131
636,44.54935152182435,99.95321966976906,3.8885,0.013
637,44.437264382602535,99.9977656728708,3.8867,0.0129
638,44.326019149524484,100.0413393486177,3.8849,0.0128
639,44.21560407515422,100.08395327307242,3.8832,0.0127
640,44.10011033602893,100.11873897085296,3.8814,0.0126
641,43.991375394434364,100.15947022042677,3.8797,0.0125
642,43.883894972080185,100.19933304483315,3.8779,0.0124
643,43.77722666983225,100.23737730382183,3.8762,0.0123
644,43.671759402861355,100.27551575372509,3.8745,0.0122
645,43.56659462122854,100.31271537522288,3.8728,0.0121
646,43.45659863106477,100.34217024909124,3.8711,0.012
647,43.35301388273083,100.3767358884991,3.8694,0.0119
648,43.2505735388456,100.41145129041436,3.8677,0.0118
649,43.149302223110766,100.44543034815814,3.8661,0.0117
650,43.04833244634953,100.47760409584892,3.8644,0.0116
651,42.94846543624711,100.50997702025253,3.8628,0.0116
652,42.84314795184028,100.53358332671706,3.8611,0.0115
653,42.744694040610945,100.5643850538839,3.8595,0.0114
654,42.64696384363422,100.593521706507,3.8579,0.0113
655,42.55028341026389,100.62291706572807,3.8563,0.0112
656,42.453866177486155,100.65055490595316,3.8547,0.0111
657,42.3584746487916,100.67847553205408,3.8531,0.011
658,42.25786937211076,100.69765549938535,3.8516,0.0109
659,42.163843529692905,100.72324329673117,3.85,0.0108
660,42.07080605112116,100.74915775283795,3.8485,0.0108
661,41.97800273706708,100.77335131809188,3.8469,0.0107
662,41.88579996830551,100.7968584413872,3.8454,0.0106
663,41.79462901604659,100.81984170883064,3.8438,0.0105
664,41.69882781930654,100.83515208201864,3.8423,0.0104
665,41.6087740976861,100.85769783171096,3.8408,0.0104
666,41.519366569588605,100.8787144727469,3.8393,0.0103
667,41.430518745635545,100.89909196186485,3.8378,0.0102
668,41.3422232386174,100.91883760824149,3.8364,0.0101
669,41.25490730433271,100.93813911085034,3.8349,0.01
670,41.16812778123598,100.95683148737716,3.8334,0.01
671,41.07693482623707,100.96789400531146,3.832,0.0099
672,40.991243681148596,100.98538653672767,3.8305,0.0098
673,40.90606773121672,101.00229047218235,3.8291,0.0097
674,40.821499852899635,101.01774151380381,3.8277,0.0097
675,40.737766386936016,101.03369439883237,3.8262,0.0096
676,40.65409744983246,101.0488769370328,3.8248,0.0095
677,40.56661689856984,101.05667125416073,3.8234,0.0095
678,40.48448830091711,101.07008739174402,3.822,0.0094
679,40.40272891455124,101.08382895341022,3.8206,0.0093
680,40.321864904594406,101.09725971152612,3.8193,0.0092
681,40.24114921808186,101.10907440705955,3.8179,0.0092
682,40.16077897051404,101.12122959249882,3.8165,0.0091
683,40.081401353344546,101.13224070434818,3.8152,0.009
684,39.997852325163194,101.13656035166785,3.8138,0.009
685,39.91939341255329,101.14656738520411,3.8125,0.0089
686,39.84124807876654,101.15694163541836,3.8112,0.0088
687,39.76365381555274,101.16596773085045,3.8098,0.0088
688,39.68678052613944,101.17562669862986,3.8085,0.0087
689,39.610028700951105,101.18369680285468,3.8072,0.0086
690,39.534112188128,101.19155905785308,3.8059,0.0086
691,39.454313581069584,101.19190494870917,3.8046,0.0085
692,39.37910375597582,101.1997083706434,3.8033,0.0084
693,39.30442308368479,101.20620603660831,3.802,0.0084
694,39.23013526456999,101.21225912779512,3.8008,0.0083
695,39.156235431230265,101.21787239201619,3.7995,0.0083
696,39.08313643497202,101.22333662996535,3.7982,0.0082
697,39.009997761612325,101.22808788284749,3.797,0.0081
698,38.937649584309966,101.23270651867581,3.7957,0.0081
699,38.86159836996699,101.22984783586489,3.7945,0.008
700,38.79000808866417,101.23364173593964,3.7933,0.008
701,38.71877684316026,101.23703016976818,3.7921,0.0079
702,38.64790025701353,101.24001743123743,3.7908,0.0079
703,38.577374015526,101.24260775731828,3.7896,0.0078
704,38.50776109496057,101.24427047875406,3.7884,0.0077
705,38.43833754130768,101.24640147519412,3.7872,0.0077
706,38.36494183301982,101.24076756028404,3.786,0.0076
707,38.296212310035195,101.24214357303177,3.7848,0.0076
708,38.227971143460174,101.24230203367974,3.7837,0.0075
709,38.15989651803384,101.24294299736493,3.7825,0.0075
710,38.09230556224932,101.24237475808576,3.7813,0.0074
711,38.025281293730316,101.24263481527862,3.7802,0.0074
712,37.95832479180049,101.24135832731305,3.779,0.0073
713,37.89192364351481,101.2409237318534,3.7779,0.0073
714,37.822283908220854,101.23223656127409,3.7767,0.0072
715,37.756103069468686,101.23077280586865,3.7756,0.0071
716,37.690801837360745,101.22847918439403,3.7745,0.0071
717,37.62579781101959,101.22585626957704,3.7733,0.007
718,37.56091245332932,101.22375276493531,3.7722,0.007
719,37.496899156590494,101.22084682113449,3.7711,0.0069
720,37.43276431052627,101.21725943075127,3.77,0.0069
721,37.3693206193565,101.21372820726097,3.7689,0.0068
722,37.30220412889942,101.20245166475014,3.7678,0.0068
723,37.239336772569054,101.19830850580506,3.7667,0.0068
724,37.17655868710778,101.1947099638127,3.7656,0.0067
725,37.11423298123773,101.1899702380695,3.7646,0.0067
726,37.05217416313044,101.18493690112122,3.7635,0.0066
727,36.99056729665546,101.17876873373646,3.7624,0.0066
728,36.92903456420519,101.17315725994673,3.7614,0.0065
729,36.867759689249645,101.16726114528296,3.7603,0.0065
730,36.80375236495307,101.1544248766058,3.7593,0.0064
731,36.74300242798299,101.14797201042435,3.7582,0.0064
732,36.682905877268006,101.14165048641976,3.7572,0.0063
733,36.623251535354754,101.1342179797852,3.7562,0.0063
734,36.563645057483434,101.1273654378262,3.7551,0.0063
735,36.50427883070055,101.12025153620054,3.7541,0.0062
736,36.445350711248345,101.11203466326069,3.7531,0.0062
737,36.38645831596065,101.10440601888246,3.7521,0.0061
738,36.327798216252276,101.09652402693747,3.7511,0.0061
739,36.26673972031468,101.08092374573454,3.7501,0.006
740,36.20855417862669,101.07254667653804,3.7491,0.006
741,36.1512027298639,101.06351426704491,3.7481,0.006
742,36.094075544006365,101.05424454967752,3.7471,0.0059
743,36.03655837047274,101.04514400159796,3.7461,0.0059
744,35.97987130893451,101.03540414324455,3.7451,0.0058
745,35.92340127267597,101.02543424375925,3.7442,0.0058
746,35.866932238261455,101.016082263122,3.7432,0.0058
747,35.81088795561611,101.005659529649,3.7422,0.0057
748,35.752361812449486,100.98842801345258,3.7413,0.0057
749,35.696750282927916,100.97756573351083,3.7403,0.0056
750,35.64174498965491,100.96694687713314,3.7394,0.0056
751,35.586541972211776,100.95565284508866,3.7384,0.0056
752,35.53194053768116,100.94461254194678,3.7375,0.0055
753,35.47713735323377,100.93289555898626,3.7366,0.0055
754,35.422931226843374,100.92144250105449,3.7356,0.0054
755,35.368919556003796,100.90978771294121,3.7347,0.0054
756,35.31510028744007,100.89793329237543,3.7338,0.0054
757,35.26147139359515,100.88588131340066,3.7329,0.0053
758,35.205480912474144,100.86709109148798,3.732,0.0053
759,35.15224025189868,100.8546544984025,3.7311,0.0053
760,35.099183908753474,100.84202644650253,3.7302,0.0052
761,35.04694157119939,100.8288530234395,3.7293,0.0052
762,34.99424922027472,100.81585048225531,3.7284,0.0052
763,34.942134771751824,100.80316185184837,3.7275,0.0051
764,34.890432593330154,100.78944437818501,3.7266,0.0051
765,34.838271568881765,100.7758961453775,3.7257,0.0051
766,34.786920729272886,100.76182432326642,3.7248,0.005
767,34.73267163020916,100.7414179750566,3.724,0.005
768,34.68167730391486,100.72700370678014,3.7231,0.005
769,34.63061140760591,100.7132726497203,3.7222,0.0049
770,34.58035274790484,100.69904048772048,3.7214,0.0049
771,34.529861767889734,100.68412585159987,3.7205,0.0049
772,34.479290737085236,100.66990104245667,3.7197,0.0048
773,34.42952517385702,100.65518725515335,3.7188,0.0048
774,34.37952248151337,100.63978779568758,3.718,0.0048
775,34.329829989759254,100.62561768417423,3.7171,0.0047
776,34.28054282669051,100.61044018384416,3.7163,0.0047
777,34.231412322342884,100.59511213678803,3.7155,0.0047
778,34.17933560531196,100.57210098232217,3.7146,0.0046
779,34.13052494732198,100.5564759325893,3.7138,0.0046
780,34.08226458890202,100.54125172111364,3.713,0.0046
781,34.033756348893334,100.5253394269135,3.7122,0.0045
782,33.98539710678931,100.50928447526368,3.7114,0.0045
783,33.93718540452287,100.49308839106669,3.7106,0.0045
784,33.88911980119979,100.4767526829637,3.7098,0.0045
785,33.841597186081835,100.46083891286493,3.709,0.0044
786,33.79381952852785,100.44423112579423,3.7082,0.0044
787,33.746582088151506,100.42805355986543,3.7074,0.0044
788,33.69715102741319,100.40391219689494,3.7066,0.0043
789,33.64980617220269,100.3869100547616,3.7058,0.0043
790,33.60299735543152,100.3703504301391,3.705,0.0043
791,33.55659031635685,100.35280187564523,3.7042,0.0043
792,33.51005412582521,100.33599464532826,3.7035,0.0042
793,33.46365179415347,100.31906600493991,3.7027,0.0042
794,33.417650457335974,100.30115054848258,3.7019,0.0042
795,33.37191155019481,100.28456891824366,3.7011,0.0041
796,33.326174716229865,100.2664179188606,3.7004,0.0041
797,33.28029735032419,100.24901825650848,3.6996,0.0041
798,33.2352186747049,100.23122855954385,3.6989,0.0041
799,33.187106439776606,100.206654725138,3.6981,0.004
800,33.142291799143685,100.18864735001077,3.6974,0.004
